,노선명
0,영동선
1,영동선
2,영동선
3,영동선
4,영동선
5,경부선
6,영동선
7,영동선
8,영동선
9,영동선
10,영동선
11,영동선
12,영동선
13,경부선
14,영동선
15,영동선
16,영동선
17,영동선
18,영동선
19,통영대전선
20,영동선
21,영동선
22,영동선
23,영동선
24,영동선
25,영동선
26,영동선
27,영동선
28,영동선
29,영동선
30,울산선
31,영동선
32,영동선
33,영동선
34,영동선
35,영동선
36,영동선
37,영동선
38,영동선
39,영동선
40,영동선
41,영동선
42,영동선
43,영동선
44,영동선
45,영동선
46,영동선
47,영동선
48,영동선
49,영동선
50,영동선
51,영동선
52,영동선
53,통영대전선
54,통영대전선
55,영동선
56,영동선
57,영동선
58,영동선
59,영동선
60,영동선
61,통영대전선
62,통영대전선
63,영동선
64,영동선
65,영동선
66,영동선
67,영동선
68,영동선
69,영동선
70,통영대전선
71,영동선
72,영동선
73,영동선
74,영동선
75,영동선
76,영동선
77,영동선
78,경부선
79,영동선
80,영동선
81,영동선
82,영동선
83,통영대전선
84,영동선
85,영동선
86,영동선
87,영동선
88,영동선
89,영동선
90,영동선
91,영동선
92,영동선
93,영동선
94,영동선
95,영동선
96,익산장수선
97,익산장수선
98,영동선
99,익산장수선
100,익산장수선
101,영동선
102,익산장수선
103,남해선(순천부산)
104,영동선
105,영동선
106,영동선
107,영동선
108,중앙선
109,영동선
110,영동선
111,중앙선
112,영동선
113,영동선
114,영동선
115,영동선
116,영동선
117,남해선(순천부산)
118,영동선
119,영동선
120,영동선
121,영동선
122,영동선
123,영동선
124,영동선
125,영동선
126,영동선
127,영동선
128,영동선
129,영동선
130,영동선
131,영동선
132,영동선
133,영동선
134,영동선
135,영동선
136,영동선
137,영동선
138,영동선
139,영동선
140,영동선
141,영동선
142,영동선
143,영동선
144,영동선
145,영동선
146,영동선
147,영동선
148,영동선
149,영동선
150,영동선
151,영동선
152,영동선
153,영동선
154,영동선
155,영동선
156,평택제천선
157,영동선
158,영동선
159,영동선
160,영동선
161,영동선
162,영동선
163,서해안선
164,영동선
165,영동선
166,경부선
167,경부선
168,영동선
169,영동선
170,영동선
171,영동선
172,영동선
173,남해선(순천부산)
174,영동선
175,영동선
176,영동선
177,영동선
178,영동선
179,영동선
180,영동선
181,영동선
182,영동선
183,영동선
184,영동선
185,영동선
186,영동선
187,영동선
188,영동선
189,익산장수선
190,영동선
191,익산장수선
192,경부선
193,영동선
194,영동선
195,익산장수선
196,영동선
197,통영대전선
198,영동선
199,영동선
200,영동선
201,영동선
202,영동선
203,영동선
204,영동선
205,영동선
206,영동선
207,영동선
208,경부선
209,영동선
210,영동선
211,영동선
212,영동선
213,영동선
214,통영대전선
215,영동선
216,경부선
217,영동선
218,영동선
219,영동선
220,제2중부선
221,영동선
222,경부선
223,영동선
224,남해선(순천부산)
225,통영대전선
226,중앙선
227,영동선
228,영동선
229,영동선
230,영동선
231,영동선
232,경부선
233,경부선
234,영동선
235,영동선
236,영동선
237,영동선
238,영동선
239,경부선
240,영동선
241,영동선
242,영동선
243,영동선
244,영동선
245,영동선
246,영동선
247,영동선
248,영동선
249,경부선
250,영동선
251,경부선
252,광주대구선
253,경부선
254,경부선
255,영동선
256,영동선
257,영동선
258,영동선
259,영동선
260,영동선
261,영동선
262,영동선
263,영동선
264,영동선
265,경부선
266,영동선
267,영동선
268,영동선
269,영동선
270,영동선
271,영동선
272,영동선
273,영동선
274,영동선
275,영동선
276,영동선
277,영동선
278,영동선
279,영동선
280,영동선
281,영동선
282,영동선
283,영동선
284,영동선
285,영동선
286,영동선
287,영동선
288,영동선
289,영동선
290,영동선
291,영동선
292,영동선
293,영동선
294,영동선
295,영동선
296,영동선
297,영동선
298,영동선
299,영동선
300,영동선
301,영동선
302,영동선
303,영동선
304,영동선
305,영동선
306,영동선
307,영동선
308,영동선
309,영동선
310,영동선
311,영동선
312,평택제천선
313,영동선
314,평택제천선
315,영동선
316,영동선
317,영동선
318,영동선
319,영동선
320,영동선
321,영동선
322,영동선
323,영동선
324,영동선
325,영동선
326,영동선
327,영동선
328,영동선
329,영동선
330,영동선
331,중앙선
332,중앙선
333,중앙선
334,중앙선
335,동해선
336,중앙선
337,중앙선
338,중앙선
339,중앙선
340,중앙선
341,중앙선
342,중앙선
343,중앙선
344,중앙선
345,중앙선
346,중앙선
347,영동선
348,중앙선
349,중앙선
350,중앙선
351,중앙선
352,중앙선
353,중앙선
354,중앙선
355,중앙선
356,중앙선
357,중앙선
358,중앙선
359,중앙선
360,중앙선
361,중앙선
362,서해안선
363,중앙선
364,중앙선
365,서울외곽순환선(판교퇴계원)
366,중앙선
367,경부선
368,중앙선
369,중앙선
370,중앙선
371,중앙선
372,중앙선
373,중앙선
374,서울외곽순환선(판교퇴계원)
375,중앙선
376,중앙선
377,서울외곽순환선(판교퇴계원)
378,중부내륙선
379,중앙선
380,중앙선
381,중앙선
382,중앙선
383,중앙선
384,중앙선
385,경부선
386,중앙선
387,경부선
388,중앙선
389,순천완주선
390,중앙선
391,중앙선
392,영동선
393,영동선
394,경부선
395,중앙선
396,중앙선
397,중앙선
398,중앙선
399,영동선
400,영동선
401,중앙선
402,중앙선
403,중앙선
404,중앙선
405,중앙선
406,호남선의지선
407,중앙선
408,중앙선
409,중앙선
410,중부내륙선
411,중앙선
412,중앙선
413,중앙선
414,영동선
415,영동선
416,영동선
417,영동선
418,영동선
419,영동선
420,영동선
421,영동선
422,영동선
423,영동선
424,영동선
425,영동선
426,영동선
427,영동선
428,영동선
429,경부선
430,중앙선
431,영동선
432,영동선
433,영동선
434,영동선
435,영동선
436,영동선
437,영동선
438,영동선
439,영동선
440,영동선
